adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2000-07-01,2000-07-31,2000,3,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2000-07-01,2000-07-31,2000,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2000-08-01,2000-08-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2000-08-01,2000-08-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2000-08-01,2000-08-31,2000,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2000-08-01,2000-08-31,2000,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2000-08-01,2000-08-31,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2000-08-01,2000-08-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2000-08-01,2000-08-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2000-08-01,2000-08-31,2000,12,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2000-08-01,2000-08-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2000-08-01,2000-08-31,2000,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2000-08-01,2000-08-31,2000,6,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2000-08-01,2000-08-31,2000,27,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2000-08-01,2000-08-31,2000,9,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2000-08-01,2000-08-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2000-08-01,2000-08-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2000-09-01,2000-09-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2000-09-01,2000-09-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2000-09-01,2000-09-30,2000,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2000-09-01,2000-09-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2000-09-01,2000-09-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2000-09-01,2000-09-30,2000,14,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2000-09-01,2000-09-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2000-09-01,2000-09-30,2000,10,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2000-09-01,2000-09-30,2000,3,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2000-09-01,2000-09-30,2000,15,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2000-09-01,2000-09-30,2000,12,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2000-09-01,2000-09-30,2000,15,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2000-09-01,2000-09-30,2000,8,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2000-09-01,2000-09-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2000-09-01,2000-09-30,2000,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2000-10-01,2000-10-31,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2000-10-01,2000-10-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2000-10-01,2000-10-31,2000,15,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2000-10-01,2000-10-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2000-10-01,2000-10-31,2000,16,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2000-10-01,2000-10-31,2000,18,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2000-10-01,2000-10-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2000-10-01,2000-10-31,2000,19,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2000-10-01,2000-10-31,2000,7,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2000-10-01,2000-10-31,2000,62,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2000-10-01,2000-10-31,2000,34,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2000-10-01,2000-10-31,2000,7,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2000-10-01,2000-10-31,2000,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2000-10-01,2000-10-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2000-10-01,2000-10-31,2000,18,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2000-11-01,2000-11-30,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2000-11-01,2000-11-30,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2000-11-01,2000-11-30,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2000-11-01,2000-11-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2000-11-01,2000-11-30,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2000-11-01,2000-11-30,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2000-11-01,2000-11-30,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2000-11-01,2000-11-30,2000,12,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2000-11-01,2000-11-30,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2000-11-01,2000-11-30,2000,30,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2000-11-01,2000-11-30,2000,19,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2000-11-01,2000-11-30,2000,7,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2000-11-01,2000-11-30,2000,6,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2000-11-01,2000-11-30,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2000-11-01,2000-11-30,2000,12,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2000-12-01,2000-12-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2000-12-01,2000-12-31,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2000-12-01,2000-12-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2000-12-01,2000-12-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2000-12-01,2000-12-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2000-12-01,2000-12-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2000-12-01,2000-12-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2000-12-01,2000-12-31,2000,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2000-12-01,2000-12-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2000-12-01,2000-12-31,2000,14,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2000-12-01,2000-12-31,2000,24,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2000-12-01,2000-12-31,2000,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2000-12-01,2000-12-31,2000,8,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2000-12-01,2000-12-31,2000,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2000-12-01,2000-12-31,2000,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2001-01-01,2001-01-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2001-01-01,2001-01-31,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2001-01-01,2001-01-31,2001,8,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2001-01-01,2001-01-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2001-01-01,2001-01-31,2001,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2001-01-01,2001-01-31,2001,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2001-01-01,2001-01-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2001-01-01,2001-01-31,2001,29,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2001-01-01,2001-01-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2001-01-01,2001-01-31,2001,18,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2001-01-01,2001-01-31,2001,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2001-01-01,2001-01-31,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2001-01-01,2001-01-31,2001,10,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2001-01-01,2001-01-31,2001,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2001-01-01,2001-01-31,2001,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NA,NA,NICARAGUA,NIC,180,NIC,NA,2001-01-01,2001-12-31,2001,1646,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2001-02-01,2001-02-28,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2001-02-01,2001-02-28,2001,3,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2001-02-01,2001-02-28,2001,24,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2001-02-01,2001-02-28,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2001-02-01,2001-02-28,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2001-02-01,2001-02-28,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2001-02-01,2001-02-28,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2001-02-01,2001-02-28,2001,33,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2001-02-01,2001-02-28,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2001-02-01,2001-02-28,2001,19,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2001-02-01,2001-02-28,2001,12,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2001-02-01,2001-02-28,2001,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2001-02-01,2001-02-28,2001,13,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2001-02-01,2001-02-28,2001,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2001-02-01,2001-02-28,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2001-03-01,2001-03-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2001-03-01,2001-03-31,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2001-03-01,2001-03-31,2001,12,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2001-03-01,2001-03-31,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2001-03-01,2001-03-31,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,GRANADA,NA,"NICARAGUA, GRANADA",NIC,2192,NI-GR,NA,2001-03-01,2001-03-31,2001,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,JINOTEGA,NA,"NICARAGUA, JINOTEGA",NIC,2193,NI-JI,NA,2001-03-01,2001-03-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,LEON,NA,"NICARAGUA, LEON",NIC,2194,NI-LE,NA,2001-03-01,2001-03-31,2001,16,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MADRIZ,NA,"NICARAGUA, MADRIZ",NIC,2195,NI-MD,NA,2001-03-01,2001-03-31,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MANAGUA,NA,"NICARAGUA, MANAGUA",NIC,2196,NI-MN,NA,2001-03-01,2001-03-31,2001,11,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MASAYA,NA,"NICARAGUA, MASAYA",NIC,2197,NI-MS,NA,2001-03-01,2001-03-31,2001,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,MATAGALPA,NA,"NICARAGUA, MATAGALPA",NIC,2198,NI-MT,NA,2001-03-01,2001-03-31,2001,4,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,NUEVA SEGOVIA,NA,"NICARAGUA, NUEVA SEGOVIA",NIC,2199,NI-NS,NA,2001-03-01,2001-03-31,2001,3,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIO SAN JUAN,NA,"NICARAGUA, RIO SAN JUAN",NIC,2200,NI-SJ,NA,2001-03-01,2001-03-31,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,RIVAS,NA,"NICARAGUA, RIVAS",NIC,2201,NI-RI,NA,2001-03-01,2001-03-31,2001,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,BOACO,NA,"NICARAGUA, BOACO",NIC,2187,NI-BO,NA,2001-04-01,2001-04-30,2001,1,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CARAZO,NA,"NICARAGUA, CARAZO",NIC,2188,NI-CA,NA,2001-04-01,2001-04-30,2001,2,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHINANDEGA,NA,"NICARAGUA, CHINANDEGA",NIC,2189,NI-CI,NA,2001-04-01,2001-04-30,2001,6,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,CHONTALES,NA,"NICARAGUA, CHONTALES",NIC,2190,NI-CO,NA,2001-04-01,2001-04-30,2001,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
NICARAGUA,ESTELI,NA,"NICARAGUA, ESTELI",NIC,2191,NI-ES,NA,2001-04-01,2001-04-30,2001,14,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,PAHO
